stock_code,trade_date,close_price,prev_close,prev_date,pct_chg,gap_days,adjust_factor,coverage_ratio
1225.TW,2024-06-03,92.1,56.5,2024-03-29,0.630088,66,1.630088495575221,0.8257869771453212
1315.TW,2020-10-26,68.9,52.7,2020-10-14,0.3074,12,1.3074003795066411,0.9866321690383786
1315.TW,2021-12-20,86.8,66.4,2021-12-08,0.307229,12,1.3072289156626504,0.9866321690383786
1316.TW,2017-01-24,18.5,11.4,2017-01-11,0.622807,13,1.6228070175438596,0.9931004743423888
1417.TW,2019-09-09,9.26,6.61,2019-08-28,0.400908,12,1.4009077155824508,0.9939629150495904
1418.TW,2017-11-28,11.1,4.6,2017-11-15,1.413043,13,2.4130434782608696,0.8223372143165157
1438.TW,2021-03-29,25.9,12.6,2021-03-18,1.055556,11,2.055555555555556,0.973695558430358
1441.TW,2017-04-26,9.73,7.1,2017-04-13,0.370423,13,1.3704225352112678,0.9939629150495904
1441.TW,2023-08-29,12.6,7.64,2023-08-21,0.649215,8,1.649214659685864,0.9939629150495904
1449.TW,2022-12-12,16.05,12.2,2022-11-30,0.315574,12,1.3155737704918034,0.9922380336351876
1451.TW,2017-10-11,33.35,23.15,2017-09-28,0.440605,13,1.4406047516198706,0.9978438982319966
1460.TW,2021-07-07,14.1,10.45,2021-06-29,0.349282,8,1.349282296650718,0.9978438982319966
1471.TW,2018-01-22,8.72,5.73,2018-01-10,0.521815,12,1.5218150087260034,0.9969814575247952
1472.TW,2017-10-30,40.5,21.05,2017-10-18,0.92399,12,1.9239904988123515,0.9655023717119448
1472.TW,2021-10-18,32.3,10.2,2021-10-06,2.166667,12,3.1666666666666665,0.9655023717119448
1475.TW,2017-11-13,123.0,40.75,2017-11-01,2.018405,12,3.01840490797546,0.9266925398878828
1515.TW,2022-07-01,26.1,39.75,2022-04-29,-0.343396,63,0.6566037735849057,0.9107373868046572
1529.TW,2018-12-24,22.5,2.36,2018-12-12,8.533898,12,9.533898305084746,0.9788702026735662
1538.TW,2018-09-11,5.34,4.01,2018-09-03,0.331671,8,1.3316708229426435,0.9141871496334628
1538.TW,2020-11-16,7.67,3.21,2020-11-06,1.389408,10,2.389408099688473,0.9141871496334628
1538.TW,2023-12-11,18.45,12.4,2023-11-29,0.487903,12,1.4879032258064515,0.9141871496334628
1538.TW,2024-12-31,28.2,17.35,2024-12-18,0.62536,13,1.6253602305475503,0.9141871496334628
1725.TW,2022-01-03,34.25,23.5,2021-04-29,0.457447,249,1.4574468085106382,0.6114704614057783
1742.TWO,2018-03-13,16.75,9.78,2018-03-05,0.712679,8,1.712678936605317,0.9956877964639932
1799.TWO,2022-10-11,15.05,10.5,2022-09-29,0.433333,12,1.4333333333333331,0.9965502371711944
1805.TW,2023-10-11,14.05,10.7,2023-09-26,0.313084,15,1.313084112149533,0.9836136265631736
2006.TW,2021-12-06,59.6,43.6,2021-11-24,0.366972,12,1.3669724770642202,0.9969814575247952
2022.TW,2018-08-27,9.22,6.5,2018-08-15,0.418462,12,1.4184615384615389,0.9939629150495904
2025.TW,2025-02-12,16.65,10.5,2025-02-04,0.585714,8,1.5857142857142856,0.9404915912031048
2109.TW,2021-03-29,17.9,13.7,2021-03-17,0.306569,12,1.3065693430656935,0.9969814575247952
2201.TW,2020-10-19,38.0,23.95,2020-10-06,0.586639,13,1.5866388308977035,0.9965502371711944
2305.TW,2022-07-01,14.45,9.4,2022-04-29,0.537234,63,1.5372340425531914,0.9366106080206986
2321.TW,2018-11-05,4.14,2.3,2018-10-24,0.8,12,1.8,0.9271237602414834
2321.TW,2020-10-19,11.4,3.79,2020-10-06,2.007916,13,3.007915567282322,0.9271237602414834
2321.TW,2023-02-17,19.2,6.38,2023-02-08,2.009404,9,3.0094043887147337,0.9271237602414834
2323.TW,2019-10-01,11.25,8.3,2019-09-18,0.355422,13,1.355421686746988,0.994394135403191
2327.TW,2017-08-18,177.0,120.5,2017-08-04,0.46888,14,1.4688796680497926,0.9883570504527812
2327.TW,2022-10-31,367.0,268.0,2022-10-19,0.369403,12,1.3694029850746268,0.9883570504527812
2329.TW,2018-12-03,11.75,7.35,2018-11-21,0.598639,12,1.598639455782313,0.9969814575247952
2363.TW,2024-07-29,76.3,58.6,2024-07-18,0.302048,11,1.3020477815699658,0.9978438982319966
2373.TW,2017-09-07,81.0,59.2,2017-08-23,0.368243,15,1.3682432432432432,0.9952565761103924
2375.TW,2020-08-17,48.0,34.55,2020-08-05,0.389291,12,1.389290882778582,0.9939629150495904
2406.TW,2019-12-02,11.5,7.55,2019-11-22,0.523179,10,1.52317880794702,0.9978438982319966
2424.TW,2020-12-21,33.35,18.2,2020-12-09,0.832418,12,1.8324175824175823,0.8624407072013799
2430.TW,2022-08-15,43.9,31.9,2022-08-03,0.376176,12,1.3761755485893417,0.9969814575247952
2434.TW,2017-10-02,10.2,6.85,2017-09-19,0.489051,13,1.489051094890511,0.9719706770159552
2438.TW,2021-01-11,10.6,6.67,2020-12-29,0.589205,13,1.5892053973013494,0.9918068132815868
2478.TW,2019-10-07,48.8,35.8,2019-09-25,0.363128,12,1.3631284916201118,0.9974126778783958
2505.TW,2021-01-04,38.05,25.2,2020-12-23,0.509921,12,1.5099206349206349,0.9974126778783958
2534.TW,2024-08-01,30.1,21.8,2024-03-29,0.380734,125,1.3807339449541285,0.8486416558861578
2614.TW,2021-12-01,33.05,17.3,2021-04-29,0.910405,216,1.9104046242774564,0.8564036222509702
2614.TW,2023-08-28,21.35,14.9,2023-08-16,0.432886,12,1.4328859060402686,0.8564036222509702
2705.TW,2019-11-11,15.8,8.9,2019-10-30,0.775281,12,1.7752808988764046,0.9969814575247952
2719.TWO,2019-10-21,7.88,3.87,2019-10-07,1.036176,14,2.036175710594315,0.926261319534282
2719.TWO,2022-08-01,23.25,14.0,2022-07-20,0.660714,12,1.6607142857142858,0.926261319534282
2726.TWO,2023-11-06,31.5,22.0,2023-10-25,0.431818,12,1.431818181818182,0.9918068132815868
2740.TWO,2020-02-24,14.2,8.14,2020-02-12,0.744472,12,1.7444717444717444,0.8003449762828806
2740.TWO,2024-12-06,33.85,25.5,2024-11-29,0.327451,7,1.3274509803921568,0.8003449762828806
2832.TW,2025-11-03,47.35,36.0,2025-10-21,0.315278,13,1.3152777777777778,0.9969814575247952
2911.TW,2024-03-11,8.16,6.23,2024-02-27,0.309791,13,1.3097913322632424,0.9926692539887882
2915.TW,2018-10-29,76.1,54.7,2018-10-17,0.391225,12,1.3912248628884825,0.9969814575247952
3018.TW,2023-06-30,8.11,18.0,2022-04-29,-0.549444,427,0.4505555555555555,0.8063820612332903
3022.TW,2019-09-06,52.5,36.0,2019-08-28,0.458333,9,1.4583333333333333,0.994394135403191
3041.TW,2019-11-04,20.75,12.75,2019-10-23,0.627451,12,1.6274509803921569,0.9939629150495904
3041.TW,2024-11-11,30.0,19.75,2024-10-30,0.518987,12,1.518987341772152,0.9939629150495904
3046.TW,2017-12-11,16.2,5.4,2017-11-29,2.0,12,3.0,0.9926692539887882
3057.TW,2025-10-07,13.85,9.32,2025-09-24,0.486052,13,1.4860515021459226,0.994394135403191
3064.TWO,2024-02-05,32.2,10.65,2024-01-24,2.023474,12,3.023474178403756,0.8546787408365675
3067.TWO,2021-12-17,41.35,28.7,2021-11-29,0.440767,18,1.440766550522648,0.7951703320396722
