stock_code,trade_date,close_price,prev_close,prev_date,pct_chg,gap_days,adjust_factor,coverage_ratio
1258.TWO,2022-01-03,19.35,14.85,2021-04-29,0.30303,249,1.3030303030303032,0.5015092712376024
1589.TW,2026-01-02,17.3,51.3,2024-03-29,-0.662768,644,0.3372319688109162,0.5735230702889177
2443.TW,2024-01-02,4.43,3.35,2023-05-31,0.322388,216,1.3223880597014923,0.5489435101336783
2841.TW,2022-01-03,4.14,6.95,2021-04-29,-0.404317,249,0.59568345323741,0.47736093143596375
3089.TWO,2018-03-12,12.8,5.23,2018-02-27,1.447419,13,2.447418738049713,0.4816731349719707
3089.TWO,2022-01-03,43.2,17.25,2021-01-19,1.504348,349,2.5043478260869567,0.4816731349719707
3089.TWO,2023-01-03,67.0,33.7,2022-04-29,0.988131,249,1.9881305637982196,0.4816731349719707
3383.TW,2019-11-04,4.13,1.02,2019-10-23,3.04902,12,4.049019607843137,0.4816731349719707
3383.TW,2022-01-03,9.22,5.12,2021-04-29,0.800781,249,1.80078125,0.4816731349719707
3452.TWO,2018-12-10,6.39,2.91,2018-11-28,1.195876,12,2.1958762886597936,0.314359637774903
3454.TW,2023-01-03,206.5,77.8,2022-04-29,1.654242,249,2.654241645244216,0.56877964639931
3454.TW,2026-01-02,98.8,145.5,2024-03-29,-0.320962,644,0.6790378006872853,0.56877964639931
3536.TW,2022-01-03,6.11,10.7,2021-04-29,-0.428972,249,0.5710280373831776,0.5040965933592065
3642.TWO,2022-01-03,9.57,15.55,2021-04-29,-0.384566,249,0.6154340836012862,0.48382923673997413
3682.TW,2020-01-20,9.61,6.95,2020-01-08,0.382734,12,1.3827338129496405,0.5217766278568349
4141.TW,2022-01-03,25.15,13.75,2021-04-29,0.829091,249,1.8290909090909089,0.4833980163863734
4725.TW,2020-07-20,16.1,6.62,2020-07-08,1.432024,12,2.4320241691842903,0.42000862440707204
4736.TWO,2023-01-03,182.0,290.0,2022-04-29,-0.372414,249,0.6275862068965518,0.5247951703320397
4944.TWO,2018-09-25,18.25,13.3,2018-09-12,0.37218,13,1.3721804511278195,0.5170332039672273
4944.TWO,2020-09-29,31.6,14.7,2020-09-21,1.14966,8,2.1496598639455784,0.5170332039672273
4944.TWO,2023-01-03,9.8,15.4,2022-04-28,-0.363636,250,0.6363636363636364,0.5170332039672273
4945.TWO,2022-01-03,82.9,58.5,2021-04-29,0.417094,249,1.4170940170940172,0.1414402759810263
4945.TWO,2023-01-03,45.25,71.8,2022-04-29,-0.369777,249,0.6302228412256268,0.1414402759810263
4945.TWO,2024-01-02,90.4,52.9,2023-05-31,0.708885,216,1.7088846880907371,0.1414402759810263
5205.TWO,2020-07-02,9.23,13.95,2020-06-24,-0.338351,8,0.6616487455197133,0.592496765847348
5205.TWO,2021-05-03,19.85,9.97,2021-04-07,0.990973,26,1.9909729187562688,0.592496765847348
5205.TWO,2021-09-10,14.5,21.7,2021-08-02,-0.331797,39,0.6682027649769585,0.592496765847348
5259.TW,2017-11-20,9.6,4.86,2017-11-08,0.975309,12,1.9753086419753083,0.24708926261319533
5283.TW,2025-10-01,67.5,102.5,2024-12-31,-0.341463,274,0.6585365853658537,0.4372574385510996
5383.TWO,2018-01-02,14.0,10.5,2017-12-20,0.333333,13,1.3333333333333333,0.5446313065976714
5383.TWO,2022-01-03,46.4,25.5,2021-04-29,0.819608,249,1.8196078431372549,0.5446313065976714
6103.TWO,2023-03-08,36.4,5.67,2023-02-24,5.419753,12,6.419753086419753,0.5640362225097024
6103.TWO,2023-05-23,40.9,30.5,2023-05-17,0.340984,6,1.340983606557377,0.5640362225097024
6131.TW,2019-04-10,3.42,13.35,2018-05-17,-0.74382,328,0.2561797752808988,0.31134109529969817
6131.TW,2020-09-28,9.05,2.75,2020-09-17,2.290909,11,3.290909090909091,0.31134109529969817
6247.TWO,2023-01-03,15.4,10.7,2022-04-29,0.439252,249,1.4392523364485983,0.4243208279430789
6287.TWO,2022-01-03,12.25,8.8,2021-04-29,0.392045,249,1.3920454545454544,0.4885726606295817
6287.TWO,2023-01-04,24.65,7.75,2022-04-29,2.180645,250,3.1806451612903226,0.4885726606295817
6404.TWO,2022-01-04,20.55,7.8,2021-04-29,1.634615,250,2.6346153846153846,0.507546356188012
6446.TWO,2022-01-03,264.0,88.4,2021-04-29,1.986425,249,2.9864253393665154,0.5321259163432513
6446.TWO,2023-01-03,478.5,310.0,2022-04-29,0.543548,249,1.543548387096774,0.5321259163432513
6457.TWO,2023-01-03,59.4,101.0,2022-04-29,-0.411881,249,0.5881188118811881,0.5480810694264769
6472.TWO,2023-01-03,434.5,153.5,2022-04-29,1.830619,249,2.8306188925081432,0.4963346269943941
6514.TWO,2022-01-03,81.7,49.45,2021-04-29,0.652174,249,1.6521739130434785,0.5433376455368694
6589.TWO,2023-01-03,118.5,88.6,2022-04-29,0.337472,249,1.337471783295711,0.28891763691246225
6594.TWO,2023-01-03,25.4,38.35,2022-04-29,-0.337679,249,0.6623207301173403,0.4717550668391548
6645.TW,2024-11-01,25.0,38.45,2024-03-29,-0.349805,217,0.6501950585175552,0.20353600689952567
6763.TWO,2024-09-09,46.6,491.0,2024-08-28,-0.905092,12,0.0949083503054989,0.45191893057352306
6919.TW,2025-07-21,133.5,1215.0,2025-07-11,-0.890123,10,0.1098765432098765,0.18499353169469598
7780.TW,2026-01-19,20.35,185.0,2026-01-08,-0.89,11,0.11,0.08667529107373868
